,Name,Critic_Score,User_Score
2249,South Park: The Stick of Truth,8.2,8.4
2254,MLB 12: The Show,8.7,7.5
2255,SpongeBob SquarePants: The Yellow Avenger,4.8,6.4
2256,Dante's Inferno,7.3,7.7
2257,Wii Play: Motion,6.0,6.1
2258,WWE SmackDown vs. Raw 2009,7.9,7.1
2259,Sonic Riders,5.9,8
2262,Blue Dragon,7.9,7.8
2264,Harvest Moon 3D: A New Beginning,7.4,8.2
2265,Kung Fu Panda,7.0,6.7
2268,EA Sports Active 2,7.8,5.4
2270,Knockout Kings 2002,7.6,8.1
2272,Tom Clancy's EndWar,7.7,7.2
2273,LEGO Harry Potter: Years 5-7,7.6,8.3
2274,Tokyo Xtreme Racer 3,6.3,8.9
2275,Xenoblade Chronicles,9.2,8.9
2278,Colin McRae Rally 2.0,9.0,8.7
2279,Dynasty Warriors 7,5.7,7.4
2280,NBA 2K14,8.6,5.7
2282,SSX,8.1,6.8
2283,Sonic Riders: Zero Gravity,5.6,8.1
2286,Sonic Mega Collection Plus,7.5,7.9
2287,Operation Flashpoint: Dragon Rising,7.6,6.5
2288,Tiger Woods PGA Tour 2002,8.0,7.6
2289,Lost Odyssey,7.8,8.3
2290,Street Fighter V,7.7,3.4
2291,Just Cause 3,7.1,7
2293,MLB 2005,7.8,7.6
2294,Marvel: Ultimate Alliance 2,7.3,7.3
2295,Burnout Revenge,9.0,8.8
2296,Crysis 3,7.6,6.7
2298,The Witcher 2: Assassins of Kings,8.8,8.3
2299,Homefront,7.0,5.7
2301,LEGO Jurassic World,7.0,7
2303,The Elder Scrolls Online,7.1,5.7
2305,Hot Shots Tennis,7.0,8.1
2306,MX vs. ATV Reflex,7.4,7.4
2307,Madden NFL 25,7.4,5.2
2308,Sonic Heroes,7.3,7.6
2310,Spider-Man 3,5.0,6.5
2311,James Bond 007: Agent Under Fire,7.1,7.5
2313,LEGO Marvel Super Heroes,6.1,5.2
2314,DJ Hero,8.6,7.8
2316,X-Men Legends,8.2,8.5
2317,NBA Live 2005,8.5,7.6
2318,Harry Potter: Quidditch World Cup,6.8,6.6
2321,Blitz: The League,7.6,8
2323,Castlevania: Circle of the Moon,9.1,8.5
2324,SOCOM 4: U.S. Navy SEALs,6.7,6.3
2325,Tiger Woods PGA Tour 06,8.3,6.2
2326,FIFA Street,7.7,6.7
2327,Classic NES Series: The Legend of Zelda,8.4,8.6
2328,Fire Emblem: The Sacred Stones,8.5,9.1
2333,Killzone: Liberation,7.7,8.3
2334,Finding Nemo,6.2,5.5
2336,Ace Combat 2,8.3,8.2
2337,NFL 2K2,8.5,7.5
2338,Pure,8.3,7.8
2340,Resistance: Retribution,8.1,8.1
2341,Call of Duty: World at War,7.5,7.8
2342,Tiger Woods PGA Tour 12: The Masters,8.0,7.3
2346,FIFA Soccer 09 All-Play,8.0,8.4
2348,LEGO Indiana Jones 2: The Adventure Continues,7.0,7.1
2350,Fossil Fighters,7.0,7.9
2352,NCAA Football 13,7.9,4.1
2353,Samba De Amigo,6.8,8.1
2355,The Simpsons Game,7.1,7.5
2356,Call of Duty: Modern Warfare 2,8.6,4.2
2357,The Tomb Raider Trilogy,7.8,8.1
2358,F1 2010,8.4,7.5
2359,Call of Juarez: Bound in Blood,7.8,7.8
2362,NBA 2K6,8.4,8.3
2363,Dissidia 012: Duodecim Final Fantasy,7.8,8.3
2366,Monster 4X4: World Circuit,5.1,7.8
2367,Far Cry: Primal,7.7,6.4
2368,Resident Evil: Revelations,8.2,8.5
2369,Sonic Chronicles: The Dark Brotherhood,7.4,7.3
2370,Star Wars: The Force Unleashed,6.1,5.5
2371,Grand Theft Auto IV,9.0,6.6
2372,Rock Band 3,9.3,8.2
2373,WWE SmackDown vs. Raw 2011,7.5,7.6
2374,ESPN NHL 2K5,8.6,8.1
2375,Borderlands: The Handsome Collection,8.2,7.8
2376,Crimson Skies: High Road to Revenge,8.8,8.8
2377,Madden NFL 08,7.6,6.8
2378,Spec Ops: Ranger Elite,4.8,6.6
2380,F1 2009,6.9,7.2
2382,Tom Clancy's Ghost Recon: Island Thunder,8.1,8.8
2383,Sleeping Dogs,8.0,7.9
2384,Kingdoms of Amalur: Reckoning,8.0,7.7
2388,Kingdom Hearts Re: Chain of Memories,6.8,7.2
2389,Phantasy Star Portable 2,6.9,8.1
2391,Michael Jackson: The Experience,6.3,6.8
2393,LittleBigPlanet Karting,7.3,6.9
2394,Tony Hawk's Project 8,6.9,7.3
2396,GRID,8.7,7.9
2397,DiRT,8.3,7.4
2399,Red Faction: Guerrilla,8.5,8.1
2400,Fight Night Round 2,8.8,9
2401,Conflict: Desert Storm,6.5,8.1
2404,Cooking Mama: World Kitchen,6.2,4.9
2405,Brothers in Arms: Hell's Highway,7.6,8.3
2406,Vagrant Story,9.2,8.3
2407,Warriors Orochi,5.5,8.2
2409,Crysis 3,7.7,6.3
2410,Mercenaries 2: World in Flames,7.2,7.1
2413,Ghostbusters: The Video Game,7.6,8.5
2416,Guitar Hero Live,8.0,6.2
2417,Endless Ocean: Blue World,7.6,8.5
2418,Winning Eleven: Pro Evolution Soccer 2007,8.1,8.3
2419,Rocky,7.4,8.4
2420,Ford Racing,5.3,5.8
2422,Guitar Hero: Warriors of Rock,7.2,6.5
2424,Lemmings,7.6,7.9
2425,Dynasty Warriors 4: Xtreme Legends,7.2,9.1
2429,2010 FIFA World Cup South Africa,8.3,8.1
2430,Tomb Raider: Anniversary,7.3,7.3
2431,NBA 2K8,8.1,7
2433,Tiger Woods PGA Tour 2005,8.8,8.9
2436,Kingdoms of Amalur: Reckoning,8.1,7.6
2438,Dragon Ball Z: Burst Limit,7.1,7.2
2440,Tekken Tag Tournament 2,8.2,8.2
2441,Ninja Gaiden Sigma 2,8.3,7.7
2442,Ratatouille,6.5,8
2444,Burnout 2: Point of Impact,8.6,8.2
2445,Wii Fit U,7.2,7.7
2446,Street Fighter EX3,6.4,7.9
2447,The Legendary Starfy,7.5,8.4
2448,NCAA Football 11,8.5,7.4
2449,The House of the Dead: Overkill,7.8,8.7
2450,Army of Two: The 40th Day,7.4,7
2451,Darksiders II,8.4,7.1
2452,Spider-Man 2,8.0,8.8
2453,The Lord of the Rings: War in the North,6.1,7.4
2454, Tales of Xillia 2,7.1,7.9
2455,Ghostbusters: The Video Game,7.8,7.9
2456,The Incredibles,6.3,7.1
2457,Xenoblade Chronicles X,8.4,8.9
2458,NBA 2K10,8.3,7.8
2462,Skate 2,8.4,7.8
2464,Big Mutha Truckers,6.2,5.3
2466,Rogue Galaxy,8.3,8.4
2467,ESPN College Hoops 2K5,8.6,8.1
2468,NCAA Football 14,7.7,6.2
2469,Harry Potter and the Order of the Phoenix,5.1,4.9
2470,Sniper Elite V2,6.7,6.8
2471,Metroid: Zero Mission,8.9,9
2473,Burnout Legends,8.6,8.4
2475,Blazing Angels: Squadrons of WWII,5.7,6.7
2476,Madden NFL 09 All-Play,8.2,7.2
2478,Dynasty Warriors 2,7.5,8.8
2479,Madden NFL 07,7.8,6.6
2480,Time Crisis 4,6.0,7.4
2481,Duke Nukem Forever,4.9,4.4
2482,Lizzie McGuire 2: Lizzie Diaries,5.7,5
2484,NCAA Football 12,8.2,5.8
2485,Brute Force,7.7,7.8
2486,Tiger Woods PGA Tour 11,7.8,6.7
2488,WWE SmackDown vs. Raw 2009,7.9,8.5
2491,Sly 3: Honor Among Thieves,8.3,8.8
2492,MLB SlugFest 20-03,7.7,8.2
2493,Need for Speed: Nitro,6.9,7.4
2494,Street Fighter X Tekken,8.4,5.3
2497,Sid Meier's Civilization Revolution,8.4,7.8
2498,Tales of the Abyss,7.5,7.6
2499,Dragon Age II,8.2,4.3
2500,Call of Duty: Modern Warfare 3,7.0,1.8
2503,James Bond 007: Nightfire,7.8,7.8
2504,Tony Hawk's Pro Skater 3,9.1,9
2505,Marvel: Ultimate Alliance,8.1,8.2
2506,DJ Hero 2,8.6,7.9
2507,Harvest Moon: Tree of Tranquility,6.5,8.2
2508,Tony Hawk's Underground 2 Remix,8.3,8
2509,Need for Speed: Hot Pursuit 2,7.5,6.4
2514,Amped: Freestyle Snowboarding,7.8,9
2517,Stranglehold,7.7,7.6
2519,Shin Megami Tensei: Persona 4,9.0,8.9
2520,Devil May Cry HD Collection,7.4,8.8
2522,The Lord of the Rings: War in the North,6.3,7
2525,Dance Central 3,8.6,8
2528,Tales of Destiny II,7.8,8.7
2530,NASCAR 2001,7.3,6.1
2532,The Legend of Zelda: Four Swords Adventures,8.6,7.2
2534,MediEvil: Resurrection,6.6,8.7
2535,Valkyrie Profile,8.1,8.8
2536,Shaun White Snowboarding,6.0,7.6
2537,Patapon,8.6,8.7
2541,Pro Evolution Soccer 2010,7.8,7.6
2542,Tom Clancy's Rainbow Six 3,7.0,8.2
2543,Madden NFL 25,7.3,5.9
2544,NCAA Football 10,8.0,6.9
2547,Guitar Hero: Warriors of Rock,7.4,7.1
2551,The Sims 2,7.5,4.4
2552,Dragon Ball: Raging Blast 2,6.0,7.5
2555,Yakuza,7.5,8.2
2557,Star Wars Rogue Squadron III: Rebel Strike,7.5,7.6
2559,Hitman: Contracts,8.0,8.3
2560,Professor Layton vs Phoenix Wright: Ace Attorney,7.9,8.5
2561,Ben 10: Alien Force,4.5,7.8
2562,Final Fantasy Anthology,8.0,8.1
2563,DiRT 2,8.7,8.2
2564,Prince of Persia: Warrior Within,8.3,7.5
2566,Killzone: Mercenary,7.8,8.9
2567,Pro Evolution Soccer 2010,7.2,4.6
2568,Guitar Hero: Metallica,8.4,8.1
2569,Final Fantasy X / X-2 HD Remaster,8.6,8.5
2571,Need for Speed: Hot Pursuit 2,6.8,8.3
2576,Rayman Raving Rabbids 2,5.7,7
2577,The Sims 2: Pets,5.7,7.3
2579,Dragon Ball Z: Budokai Tenkaichi 2,7.3,8.6
2580,Guitar Hero: Aerosmith,7.1,6.3
2581,Star Wars The Clone Wars: Republic Heroes,4.8,6.4
2583,pro evolution soccer 2011,7.4,5.8
2584,Harvest Moon: A Wonderful Life,7.9,8.9
2587,DmC: Devil May Cry,8.5,5.3
2588,Motocross Mania,3.4,5.3
2590,Darksiders II,8.3,8
2591,Need for Speed Rivals,7.6,5.4
2592,[Prototype 2],7.4,7
2596,Armored Core 2,7.8,8.4
2598,The Godfather II,6.5,6.9
2599,Dragon's Dogma,7.5,7.8
2600,Pro Evolution Soccer 2016,8.7,7.1
2603,Rare Replay,8.4,7.7
2604,Band Hero,7.6,5
2605,NCAA Football 08,8.3,8.3
2606,FIFA Soccer 2004,8.2,8.2
2607,The Sims 2: Castaway,6.4,7.3
2608,Star Ocean: The Last Hope,7.2,7.2
2609,Sniper: Ghost Warrior,5.3,6
2610,Invizimals,6.9,7.3
2613,WWE 2K15,5.5,3.1
2614,Too Human,6.5,7
2616,Tiger Woods PGA Tour 10,8.1,7.7
2619,Tom Clancy's Splinter Cell: Double Agent,8.5,8.1
2621,Naruto Shippuden: Ultimate Ninja Storm 2,7.4,8.5
2622,Golden Sun: Dark Dawn,7.9,8.1
2623,Fight Night Champion,8.6,7.4
2625,Dead Island: Riptide,5.7,6.3
2628,Star Wars The Clone Wars: Jedi Alliance,6.8,7.8
2629,The World Ends With You,8.8,8.9
2630,Drawn to Life,7.3,8.2
2631,Sid Meier's Civilization Revolution,8.5,7.7
2632,NBA 2K7,8.1,8.4
2635,James Bond 007: Nightfire,8.0,8.6
2637,Goldeneye 007: Reloaded,7.2,6.3
2639,Rayman Origins,8.7,8.2
2641,Aliens: Colonial Marines,4.8,3.8
2642,Lips,7.1,7.4
2646,MadWorld,8.1,8.6
2647,Need for Speed: ProStreet,5.7,7.1
2648,Perfect Dark Zero,8.1,7.3
2649,Marvel Nemesis: Rise of the Imperfects,5.3,6.3
2651,Need for Speed: Porsche Unleashed,7.8,8.5
2654,Resident Evil: Operation Raccoon City,5.2,4.9
2655,UFC Personal Trainer: The Ultimate Fitness System,7.0,6.5
2657,Worms: Open Warfare,7.0,6.6
2661,Star Wars Episode II: Attack of the Clones,3.8,5
2662,Ghost Squad,6.9,7.5
2664,Maximo: Ghosts to Glory,8.4,8.7
2665,Donkey Kong Country 3,7.7,8.4
2666,All-Star Baseball 2003,8.1,8.4
2667,Unlimited Saga,4.5,3
2668,Pokemon Dash,4.6,5.9
2669,Dragon Ball: Raging Blast,5.7,7.2
2670,Twisted Metal: Head On,7.9,8.2
2672,Sonic Unleashed,6.6,6.7
2679,Driv3r,5.6,4.7
2684,ISS Pro Evolution,9.4,8.7
2685,Need For Speed: Undercover,5.2,6.8
2686,Metroid Prime Hunters,8.5,8
2687,Bayonetta 2,9.1,8.2
2688,Star Wars Battlefront: Elite Squadron,6.3,8
2695,Syphon Filter: The Omega Strain,6.5,6.9
2697,The Sims 3,5.2,3.3
2698,Mortal Kombat: Deception,8.1,8.8
2699,That's So Raven,3.9,7.6
2700,DJ Hero,8.7,7.6
2703,Portal 2,9.5,8.8
2704,Duke Nukem Forever,5.1,4.9
2705,Star Wars: The Force Unleashed II,7.1,7.8
2712,Harry Potter and the Half-Blood Prince,6.0,6
2713,Wall-E,6.7,8.4
2714,Professor Layton and the Azran Legacy,8.1,7.9
2716,Mega Man X5,7.6,8.9
2718,Titanfall 2,8.9,8.4
2719,Genji: Days of the Blade,5.5,5.8
2720,Metal Gear Solid V: The Phantom Pain,9.5,7.3
2721,Rockstar Games presents Table Tennis,8.1,7.8
2722,Drawn to Life: The Next Chapter,5.8,6
2723,PokePark 2: Wonders Beyond,6.0,7
2724,DJ Hero 2,8.6,7.8
2725,WWE SmackDown vs. Raw 2009,7.2,6
2726,LEGO Batman 2: DC Super Heroes,7.2,5.2
2727,SoulCalibur V,8.1,6.7
2728,Shark Tale,6.9,6.5
2730,Zone of the Enders,7.8,7.4
2734,Pro Evolution Soccer 2015,8.2,7.2
2735,Tony Hawk's Underground 2,8.3,7.8
2736,Madden NFL 06,7.5,7.9
2738,Raving Rabbids: Travel in Time,6.2,7.6
2739,Capcom vs. SNK 2: Mark of the Millennium 2001,8.1,7.9
2740,MVP 06 NCAA Baseball,7.6,9
2741,Turok,6.9,7.1
2743,Coded Arms,5.9,6.5
2744,Final Fantasy Tactics A2: Grimoire of the Rift,8.0,6.9
2747,The Lord of the Rings: Conquest,5.4,7.1
2748,Band Hero,7.6,5.7
2749,Burnout,7.9,7.7
2750,Spectrobes,6.3,7.9
2753,The Godfather II,6.7,7.2
2754,Mortal Kombat: Unchained,7.0,8.8
2755,Need for Speed: Shift,6.9,6.5
2756,Dark Souls II,9.1,7.9
2758,Assassin's Creed: Revelations,8.0,7.4
2760,[Prototype 2],7.9,6.8
2761,Midnight Club 3: DUB Edition,8.4,7.4
2762,Resident Evil: Revelations,7.4,7.2
2763,Tom Clancy's Rainbow Six: Vegas,6.0,7.1
2767,Red Faction: Guerrilla,8.5,8.1
2770,Ace Combat: Assault Horizon,7.7,6.7
2772,Unreal Championship,8.3,8.2
2775,Crysis 2,8.6,6.8
2776,Tales of Vesperia,7.9,8.2
2777,MLB 13: The Show,8.7,7.8
2778,LEGO Marvel Super Heroes,8.2,8
2779,Namco Museum Remix,4.9,6.3
2781,Sword of Mana,7.2,8.3
2783,Marvel: Ultimate Alliance 2,7.4,7.3
2784,Dragon Age: Inquisition,8.5,5.9
2785,Resonance of Fate,7.2,8
2787,Pirates of the Caribbean: At World's End,5.5,6.9
2792,Tiger Woods PGA Tour 08,7.9,6.6
2793,Classic NES Series: Donkey Kong,5.5,4.8
2794,Harvest Moon: Animal Parade,7.6,8.9
2798,WWE SmackDown vs. Raw 2010,7.8,7.7
2799,Style Savvy: Trendsetters,7.6,8
2801,Final Fantasy XIII-2,7.9,6.3
2803,Oddworld: Munch's Oddysee,8.0,8.7
2804,Persona 4: Arena,8.6,7.7
2806,Brink,7.2,5.8
2807,NHL 11,8.8,7.7
2808,NCAA Football 07,7.9,6.9
2810,Full Spectrum Warrior,8.4,8.7
2811,LEGO Marvel's Avengers,7.1,7
2812,Katamari Damacy,8.6,9
2813,Just Dance 2015,7.5,6.6
2815,LEGO Dimensions,8.0,7.1
2816,Naruto Shippuden: Ultimate Ninja Storm Generations,7.4,7.1
2817,Shaun Palmer's Pro Snowboarder,6.4,8.7
2818,James Bond 007: Agent Under Fire,7.4,6.8
2819,Harvest Moon DS: Island of Happiness,6.5,7
2820,Star Wars Episode III: Revenge of the Sith,7.3,7.5
2821,Ultimate Spider-Man,7.4,7.9
2822,Monopoly Streets,6.5,5.2
2829,Total War: Rome II,7.6,4.2
2830,NBA Live 08,6.8,6.6
2831,Star Ocean: The Last Hope International,7.4,6.7
2832,Dead to Rights,7.3,8.9
2833,Indiana Jones and the Staff of Kings,5.5,7
2834,Tiger Woods PGA Tour 07,7.9,6
2837,Major League Baseball 2K7,7.9,7.1
2839,Persona Q: Shadow of the Labyrinth,8.3,8.1
2840,MLB 14: The Show,8.3,7.7
2841,X-Men: Mutant Academy 2,7.2,8.4
2842,Kirby: Canvas Curse,8.6,8.2
2845,Madden NFL 10,7.7,7.2
2846,MLB 09: The Show,9.0,8.1
2847,Borderlands: The Pre-Sequel,7.4,6.4
2849,Madden NFL 11,7.5,5.4
2850,Super Monkey Ball Jr.,8.2,8.6
2851,The Witcher 3: Wild Hunt,9.3,9.3
2852,F1 2011,8.4,7.1
2853,Mobile Suit Gundam: Encounters in Space,6.6,8.5
2854,MLB 10: The Show,9.1,8.3
2855,MX vs. ATV Reflex,7.5,6.6
2856,Blur,8.1,8.2
2859,Battlefield: Bad Company 2,8.7,8.3
2860,DiRT 3,8.7,7.1
2861,The Lord of the Rings: The Two Towers,7.9,8.1
2862,Madden NFL 2003,9.2,8.3
2863,Skate,8.6,8.4
2865,XCOM: Enemy Unknown,8.9,8.2
2866,Ben 10: Protector of Earth,6.0,7.2
2867,Virtua Fighter 4: Evolution,9.3,9
2868,Crysis,9.1,8
2869,Resident Evil: Survivor,3.9,7
2870,The Sims 2: Castaway,6.6,4
2872,Godzilla: Destroy All Monsters Melee,7.3,7.8
2875,Silent Hill 3,8.5,8.8
2877,Spyro: Enter the Dragonfly,4.8,5.1
2879,Power Rangers: Dino Thunder,4.9,6.2
2880,Madden NFL 08,7.5,6.8
2885,Madden NFL 09,6.8,6.5
2887,NBA Live 09,7.7,7.4
2889,Dragon Ball: Xenoverse 2,7.3,7.8
2890,Dynasty Warriors 6,5.9,7.3
2893,NCAA Football 09,8.3,7.7
2894,Doom 3: Resurrection of Evil,7.7,7.9
2895,SSX,8.2,6.4
2896,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,6.5,5.9
2897,Two Worlds,5.0,5.5
2898,Tony Hawk's Underground,8.9,8.5
2899,Spider-Man 2,6.7,6.9
2901,NCAA Football 08,8.1,7.8
2903,Skylanders: Trap Team,8.6,7.1
2904,Star Wars: Obi-Wan,5.8,5.9
2905,Ace Attorney Investigations: Miles Edgeworth,7.8,8.4
2906,Kill.Switch,7.3,8.3
2907,Catherine,7.9,8.1
2910,SplashDown,8.4,8.2
2912,Jade Empire,8.9,8.6
2913,Infinite Undiscovery,6.8,7
2917,Lego Star Wars: The Force Awakens,7.8,7.5
2918,NHL 12,8.6,7
2919,Advance Wars,9.2,9
2920,NASCAR 2001,6.6,6.6
2923,Mafia,6.5,7.6
2925,Ape Escape: On the Loose,6.6,6.4
2926,Mobile Suit Gundam: Journey to Jaburo,5.8,8.1
2927,MLB 08: The Show,8.5,8.7
2928,TimeSplitters 2,9.0,8.8
2929,Omerta: City of Gangsters,4.3,3.3
2930,Driver: San Francisco,8.0,7.6
2931,Classic NES Series: Zelda II: The Adventure of Link,7.3,7.5
2934,James Bond 007: Blood Stone,6.5,7.4
2938,Metal Gear Solid: Portable Ops Plus,6.5,7.5
2939,LEGO Rock Band,7.0,6.8
2941,Halo 2 Multiplayer Map Pack,8.9,7.4
2942,Mortal Kombat: Shaolin Monks,7.7,8.6
2947,MotionSports,4.0,4.4
2948,MX vs. ATV Unleashed: On the Edge,6.8,8.1
2949,Mario Pinball Land,6.2,4.9
2952,Dragon Ball Z: Budokai,6.5,6.3
2955,Plants vs. Zombies: Garden Warfare,7.6,7.4
2956,Need for Speed Rivals,7.5,5.8
2957,The Sims 2: Apartment Pets,5.0,3.3
2958,Harry Potter and the Chamber of Secrets,7.7,8.3
2959,Prince of Persia: The Forgotten Sands,7.5,7.6
2961,The Lord of the Rings: The Return of the King,8.4,8.5
2962,The Sims: Medieval,7.7,6.1
2964,Top Spin 4,8.2,7.7
2966,Baldur's Gate: Dark Alliance II,7.8,8.7
2967,Shark Tale,6.3,9
2968,IL-2 Sturmovik: Birds of Prey,8.1,7.3
2969,Test Drive Unlimited 2,6.8,6.4
2972,NBA Street Vol. 2,8.9,8.8
2974,MX vs. ATV Untamed,7.0,7.1
2975,The Last Remnant,6.6,6.9
2976,NCAA Football 2005,8.9,8
2978,The Sly Collection,8.5,8.8
2979,Naruto: Clash of Ninja,7.2,8.1
2980,Sniper Elite 3,6.7,7.1
2981,Prince of Persia: The Two Thrones,8.5,8.5
2982,Hot Shots Golf: Open Tee 2,8.2,8.6
2985,Suikoden II,8.2,8.4
2986,Iron Man,4.2,6.2
2987,FIFA Soccer 06,8.0,7.5
2988,Fight Night 2004,8.5,8.7
2990,.hack//Mutation Part 2,7.6,8.9
2991,Wolfenstein: The New Order,7.9,7.8
2992,Cars: Mater-National Championship,6.9,6.8
2995,Kirby's Dream Collection: Special Edition,8.2,8.8
2996,Return to Castle Wolfenstein: Tides of War,8.4,8.8
2997,RIFT,8.4,7.3
2998,Spider-Man 3,6.0,7
3000,Mass Effect,8.9,8.6
3006,The Evil Within,7.9,7.3
3007,Armored Core 3,7.4,9
3008,Star Wars: Republic Commando,7.8,8.9
3011,The LEGO Movie Videogame,7.1,7.1
3012,Turok,6.7,6
3014,Terraria,8.1,7.2
3015,Red Steel,6.3,6.8
3020,Unreal Tournament III,8.6,7.7
3022,Fossil Fighters: Champions,6.8,7.1
3023,The Sims 3,7.3,6.4
3024,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",6.6,6.8
3029,NFL Street,8.1,8.8
3030,Final Fantasy Crystal Chronicles: Ring of Fates,7.7,7.2
3031,Bakugan: Battle Brawlers,6.2,7.2
3032,Blazing Angels: Squadrons of WWII,6.7,6.9
3033,WWE SmackDown vs. RAW 2007,7.8,8.1
3035,F1 2015,6.5,6.3
3036,Tony Hawk's Proving Ground,6.5,6.6
3037,The Darkness,8.0,7.7
3039,MLB 2004,6.1,7.9
3043,Darkstone,5.8,8.3
3044,NCAA March Madness 2003,7.4,8
3047,Thrillville,6.9,2.9
3051,Castlevania: Lords of Shadow,8.3,7.8
3053,NHL 10,8.8,8.4
3054,100 Classic Books,7.0,6
3059,Street Fighter Anniversary Collection,7.8,8.7
3061,NHL 13,8.3,6.6
3062,Napoleon: Total War,8.1,7.9
3065,Rayman Legends,9.2,8.7
3066,The Sims: Bustin' Out,8.1,9
3067,BioShock Infinite,9.4,8.5
3069,Ratatouille,6.4,7.1
3070,Lollipop Chainsaw,6.7,7.1
3071,Tom Clancy's EndWar,7.6,6.6
3072,Shrek: Hassle at the Castle,7.1,7.4
3073,Suikoden IV,6.3,7.3
3074,Gods Eater Burst,7.1,7.9
3075,Fist of the North Star: Ken's Rage,6.0,6.9
3078,One Piece: Pirate Warriors 2,7.1,7.8
3080,Brothers In Arms: Road to Hill 30,8.8,8
3084,LEGO Jurassic World,7.0,6.7
3085,Kung Fu Panda,7.3,8.6
3086,Freedom Wars,7.3,8.3
3090,Shaun White Snowboarding,6.3,6.3
3091,Radiata Stories,7.4,9
3094,F-Zero GX,8.9,8.5
3095,Disney's Chicken Little,6.0,8.9
3096,Scene It? Box Office Smash,7.6,7.4
3097,Yoshi Topsy-Turvy,6.0,6.6
3098,Monster Jam: Maximum Destruction,4.7,6
3100,Tiger Woods PGA Tour 09,8.2,7.2
3102,Mortal Kombat,8.5,7.8
3104,Tiger Woods PGA Tour 09,8.4,7.8
3105,Advance Wars 2: Black Hole Rising,8.9,9.4
3106,Wario: Master of Disguise,6.0,7.4
3108,The Last Story,8.0,8.4
3109,Drakengard,6.3,9.1
3112,Champions: Return to Arms,7.7,8.8
3113,Harry Potter and the Goblet of Fire,6.8,6.7
3119,Tiger Woods PGA Tour 10,8.0,6.9
3120,007: Quantum of Solace,5.4,7.5
3123,Farming Simulator 17,6.4,8
3127,Borderlands 2,6.4,7.6
3129,Crash Bandicoot Purple: Ripto's Rampage,6.7,6.6
3130,Assassin's Creed IV: Black Flag,8.4,7.7
3131,Need For Speed: Undercover,5.4,6.2
3132,Spyro: A Hero's Tail,6.0,8
3133,Crash: Twinsanity,6.4,8
3134,The LEGO Movie Videogame,6.8,7.7
3135,Max Payne 2: The Fall of Max Payne,8.4,8.4
3137,Drawn to Life: The Next Chapter,7.2,7.7
3138,GoldenEye: Rogue Agent,6.0,7
3139,WWE 2K15,5.0,4
3141,Star Ocean: First Departure,7.4,7.4
3142,James Bond 007: Everything or Nothing,8.3,7.4
3143,X2: Wolverine's Revenge,5.8,7.2
3144,NBA Live 06,7.9,6.4
3149,Rayman 3D,6.1,6.6
3150,Football Manager 2014,8.5,5.5
3152,TimeSplitters 2,8.8,7.7
3153,Onimusha: Dawn of Dreams,8.1,8.9
3154,Sengoku Basara: Samurai Heroes,6.1,7.9
3155,Stuntman: Ignition,7.5,7.3
3156,Real Heroes: Firefighter,6.7,8.2
3157,Dishonored 2,8.8,7.7
3161,The Crew,6.4,5.9
3162,Dragon Ball: Raging Blast 2,5.7,7.4
3166,NHL 13,8.4,6.8
3167,Dead or Alive 5,7.4,7.7
3168,Evolve,7.4,5.1
3169,Lemony Snicket's A Series of Unfortunate Events,6.3,5.7
3170,Lost Planet: Extreme Condition,6.7,7
3171,X-Men Legends II: Rise of Apocalypse,8.2,7.3
3175,LEGO Star Wars II: The Original Trilogy,8.1,8
3178,Rock Band 3,9.1,6.9
3179,Dragon Age II,8.2,4.5
3180,Tony Hawk's Pro Skater 2x,7.8,8.8
3181,NBA Live 08,7.3,6.8
3183,FIFA Soccer 2003,8.8,7.7
3185,The Lord of the Rings: Conquest,5.5,7
3186,Far Cry 4,8.0,6.7
3188,NASCAR 06: Total Team Control,7.8,7.7
3192,Iron Man,4.4,6.5
3193,White Knight Chronicles II,6.0,7.1
3195,Juiced 2: Hot Import Nights,6.8,7.6
3196,Wolfenstein,7.1,7.4
3197,The Walking Dead: Survival Instinct,3.2,4
3198,The Sims 3: Generations,7.0,3.6
3199,Ape Escape 2,8.2,8.4
3202,Sega Rally Revo,7.5,7
3203,Shin Megami Tensei: Persona 3 FES,8.9,8.3
3204,FIFA Soccer 2002,8.2,5.8
3205,Angry Birds Trilogy,6.2,4.6
3207,Condemned 2: Bloodshot,8.0,8.4
3208,Okami,9.3,9.3
3209,Shin Megami Tensei: Persona 3 Portable,8.9,8.3
3211,NHL 2001,8.8,7.7
3212,Crysis 3,7.6,6.5
3213,Buzz Lightyear of Star Command,5.4,5.3
3214,NHL 16,7.8,5.5
3218,Tony Hawk's Project 8,7.6,7.2
3219,Ghostbusters: The Video Game,7.9,8.5
3220,XCOM: Enemy Unknown,9.0,8.3
3223,Metal Gear Solid 2: Substance,8.7,8.5
3224,Tony Hawk's American Wasteland,7.7,7.7
3226,Wild ARMs 3,7.8,8.4
3229,Madden NFL 07,8.2,9.2
3232,Tiger Woods PGA Tour 2004,8.9,8.2
3233,Test Drive Unlimited 2,7.0,6.1
3234,Tak 2: The Staff of Dreams,7.1,8
3235,Just Dance 3,7.5,6
3236,LEGO Pirates of the Caribbean: The Video Game,7.1,7.3
3237,Donkey Kong Barrel Blast,4.6,6.8
3240,Viewtiful Joe,9.3,8.3
3241,The Urbz: Sims in the City,7.2,9.2
3243,Guitar Hero: Metallica,8.6,8
